deseados obtenidos pwmLeft pwmRight
20000 15999 200 200
20000 15999 200 194
21000 31998 200 196
21000 15999 193 188
22000 31998 192 191
22000 31998 188 183
23000 15999 185 180
23000 15999 181 181
24000 31998 179 182
24000 15999 184 169
25000 15999 171 166
25000 31998 170 166
26000 15999 168 160
26000 15999 163 160
27000 15999 164 160
27000 15999 158 146
28000 31998 156 147
28000 31998 150 141
29000 31998 153 144
29000 31998 143 144
30000 31998 143 147
30000 31998 138 131
31000 31998 138 122
31000 31998 138 131
32000 31998 138 131
32000 47997 133 118
33000 31998 137 115
33000 31998 127 118
34000 31998 129 121
34000 31998 131 115
35000 31998 128 120
35000 31998 127 108
36000 31998 124 114
36000 47997 121 120
37000 31998 125 108
37000 31998 119 111
38000 47997 120 114
38000 31998 115 105
39000 47997 119 108
39000 31998 115 105
40000 47997 111 102
40000 47997 112 104
41000 47997 112 106
41000 47997 115 100
42000 47997 105 106
42000 47997 110 100
43000 31998 107 100
43000 47997 109 96
44000 47997 108 97
44000 47997 99 93
45000 47997 103 90
45000 31998 104 93
46000 47997 103 96
46000 47997 98 100
47000 47997 98 98
47000 47997 91 90
48000 47997 99 86
48000 63996 79 87
49000 63996 97 95
49000 47997 91 116
50000 47997 83 87
50000 47997 95 82
