deseados obtenidos pwmLeft pwmRight posLeft posRight ticksSinAct
20000 23135 200 200 32 35 0
20500 20754 200 182 413 426 0
21000 21205 198 178 797 806 0
21500 21788 192 174 1169 1178 0
22000 22700 183 166 1521 1530 0
22500 22276 187 167 1879 1885 0
23000 23411 179 163 2224 2233 0
23500 23428 173 161 2555 2574 0
24000 24075 175 157 2891 2908 0
24500 24894 171 154 3217 3233 0
25000 25470 168 151 3535 3551 0
25500 25322 167 148 3851 3862 0
26000 26162 160 147 4151 4169 0
26500 26955 160 143 4451 4469 0
27000 27495 159 140 4750 4762 0
27500 28228 155 138 5035 5046 0
28000 28989 156 134 5320 5325 0
28500 29831 148 131 5597 5596 0
29000 29958 147 131 5864 5865 0
29500 29867 148 130 6137 6134 0
30000 31007 145 127 6403 6398 0
30500 31030 144 127 6665 6659 0
31000 32358 141 122 6923 6910 0
31500 32428 138 120 7176 7157 0
32000 33315 134 118 7423 7399 0
32500 33967 133 117 7665 7639 0
33000 34541 131 115 7902 7876 0
33500 34438 129 114 8135 8109 0
34000 35544 126 112 8364 8339 0
34500 36096 126 110 8589 8564 0
35000 36716 126 109 8813 8787 0
35500 37029 123 108 9034 9006 0
36000 36812 121 108 9249 9223 0
36500 37683 121 105 9462 9436 0
37000 37929 119 105 9674 9647 0
37500 38164 117 104 9881 9856 0
38000 39081 117 102 10086 10063 0
38500 40008 115 101 10285 10262 0
39000 40569 113 100 10482 10461 0
39500 41312 113 98 10681 10656 0
40000 41065 112 97 10878 10851 0
40500 41896 111 97 11071 11041 0
41000 42137 109 96 11262 11233 0
41500 42173 108 95 11451 11423 0
42000 43862 109 93 11635 11610 0
42500 43925 106 93 11822 11794 0
43000 44873 105 92 12003 11975 0
43500 45410 104 90 12182 12152 0
44000 45281 105 90 12360 12329 0
44500 45847 103 89 12535 12505 0
45000 46127 102 88 12710 12678 0
