velocidadLeft velocidadRight pwmLeft pwmRight posLeft posRight ticksSinAct
0.00000 0.00000 50 50 0 0 3
0.04885 0.06280 50 50 9 12 2
0.05362 0.06639 50 50 23 29 3
0.05319 0.06740 50 50 37 47 1
0.05345 0.06682 50 50 52 65 0
0.05407 0.06748 50 50 66 82 4
0.05357 0.06709 50 50 80 100 4
0.05385 0.06910 50 50 94 118 2
0.05363 0.06723 50 50 109 136 1
0.05398 0.06755 50 50 123 154 0
0.05316 0.06692 50 50 137 171 4
0.05397 0.06732 50 50 151 189 3
0.05441 0.06716 50 50 164 207 2
0.05468 0.06717 50 50 178 225 1
0.05407 0.06748 50 50 192 243 0
0.05505 0.06787 50 50 207 260 5
0.05509 0.06818 50 50 221 278 4
0.05516 0.06736 50 50 235 296 3
0.05492 0.06902 50 50 249 314 1
0.05478 0.06739 50 50 264 332 0
0.05355 0.06802 50 50 278 350 0
0.05353 0.06687 50 50 292 368 0
0.05405 0.06748 50 50 306 385 5
0.05424 0.07994 50 50 320 403 4
0.05349 0.06787 50 50 334 421 3
0.05319 0.06828 50 50 347 439 2
0.05390 0.06790 50 50 361 457 2
0.05343 0.06947 50 50 375 475 2
0.05372 0.06750 50 50 389 493 1
0.05363 0.06843 50 50 404 511 1
0.05426 0.06662 50 50 418 529 0
0.05390 0.06719 50 50 432 546 4
0.05416 0.06699 50 50 447 564 3
0.05399 0.06714 50 50 461 582 3
0.05418 0.06753 50 50 475 600 1
0.05390 0.06693 50 50 490 618 0
0.05455 0.06762 50 50 504 635 4
0.05453 0.06696 50 50 519 653 2
0.05485 0.06908 50 50 533 671 0
0.05450 0.06718 50 50 547 688 5
0.05545 0.06936 50 50 560 706 4
0.05462 0.06705 50 50 574 724 3
0.05456 0.06684 50 50 588 742 2
0.05385 0.06557 50 50 601 760 0
0.05407 0.06802 50 50 615 777 5
0.05350 0.06691 50 50 629 795 4
0.05396 0.06741 50 50 643 813 3
0.05392 0.06816 50 50 658 831 2
0.05333 0.06770 50 50 672 849 1
0.05423 0.06872 50 50 686 867 0
0.05377 0.06649 50 50 700 885 5
0.06288 0.06767 50 50 715 902 3
0.05412 0.06738 50 50 729 920 3
0.05440 0.06813 50 50 743 938 2
0.05373 0.06662 50 50 758 956 1
0.05391 0.06741 50 50 772 974 0
0.05408 0.06608 50 50 786 991 5
