velocidadLeft velocidadRight pwmLeft pwmRight posLeft posRight velocidadObjetivo ticksSinAct
0.00000 0.00000 0 0 0 0 0.10000 5
0.08071 0.09384 71 71 14 17 0.10000 1
0.08575 0.10647 71 71 35 44 0.10000 0
0.08547 0.10190 71 71 58 71 0.10000 1
0.08554 0.10326 71 71 81 98 0.10000 2
0.08646 0.10612 71 71 104 124 0.10000 0
0.08624 0.10226 71 71 127 151 0.10000 1
0.08813 0.10211 71 71 150 178 0.10000 2
0.08657 0.10461 71 71 173 204 0.10000 0
0.08554 0.09925 71 71 196 231 0.10000 1
0.08657 0.10189 71 71 219 258 0.10000 3
0.08837 0.09869 71 71 242 286 0.10000 0
0.08725 0.10193 71 71 263 313 0.10000 2
0.08789 0.10159 71 71 285 338 0.10000 3
0.08780 0.10103 71 71 308 366 0.10000 0
0.08833 0.10148 71 71 331 393 0.10000 0
0.08684 0.10045 71 71 353 420 0.10000 0
0.08680 0.10710 71 71 376 447 0.10000 1
0.08462 0.10238 71 71 399 474 0.10000 1
0.08520 0.10064 71 71 422 501 0.10000 1
0.08654 0.10239 71 71 445 528 0.10000 2
0.08788 0.10099 71 71 468 555 0.10000 2
0.08603 0.10784 71 71 491 580 0.10000 3
0.08679 0.08066 71 71 514 608 0.10000 0
0.08643 0.10093 71 71 537 635 0.10000 0
0.08375 0.10383 71 71 558 662 0.10000 0
0.08604 0.09932 71 71 579 689 0.10000 0
0.08713 0.10073 71 71 601 716 0.10000 1
0.08732 0.10094 71 71 624 743 0.10000 1
0.08606 0.09735 71 71 647 770 0.10000 1
0.08825 0.10184 71 71 669 797 0.10000 2
0.08753 0.10076 71 71 692 822 0.10000 2
0.08830 0.10031 71 71 714 847 0.10000 2
0.08675 0.10210 71 71 737 873 0.10000 3
0.08712 0.10231 71 71 760 900 0.10000 0
0.08597 0.10131 71 71 783 927 0.10000 1
0.08723 0.10191 71 71 806 954 0.10000 2
0.08633 0.10197 71 71 829 980 0.10000 3
0.08823 0.10178 71 71 850 1007 0.10000 0
0.08560 0.09906 71 71 871 1034 0.10000 1
0.08708 0.10110 71 71 893 1061 0.10000 2
0.08648 0.10549 71 71 916 1086 0.10000 3
0.08712 0.10225 71 71 939 1114 0.10000 3
0.08468 0.10107 71 71 962 1141 0.10000 3
0.08867 0.10021 71 71 985 1168 0.10000 0
0.08819 0.10405 71 71 1007 1195 0.10000 1
0.08768 0.10564 71 71 1030 1222 0.10000 2
0.08725 0.10245 71 71 1052 1248 0.10000 3
0.08990 0.10235 71 71 1075 1275 0.10000 0
0.08609 0.10211 71 71 1096 1302 0.10000 1
0.08995 0.10355 71 71 1117 1329 0.10000 2
