velocidadLeft velocidadRight pwmLeft pwmRight posLeft posRight velocidadObjetivo ticksSinAct
0.00000 0.00000 0 0 0 0 0.07000 2
0.01360 0.01805 64 63 13 15 0.07000 2
0.03217 0.04368 62 60 31 38 0.07000 2
0.04462 0.05817 62 58 49 60 0.07000 3
0.05218 0.06413 61 57 67 80 0.07000 1
0.05911 0.06989 61 56 86 101 0.07000 1
0.06332 0.07238 60 55 105 121 0.07000 3
0.06608 0.07178 59 55 124 140 0.07000 1
0.06764 0.07393 60 55 142 160 0.07000 3
0.06665 0.07500 60 55 159 181 0.07000 4
0.06868 0.07568 60 53 178 201 0.07000 4
0.07018 0.07561 59 53 197 220 0.07000 2
0.07073 0.07560 59 53 216 240 0.07000 5
0.07091 0.07549 59 52 234 259 0.07000 2
0.07071 0.07475 59 53 253 278 0.07000 3
0.07089 0.07444 59 53 271 297 0.07000 3
0.07096 0.07430 59 53 290 317 0.07000 0
0.07083 0.07439 58 52 308 336 0.07000 2
0.07032 0.07400 58 52 326 355 0.07000 2
0.06972 0.07325 59 52 344 374 0.07000 1
0.06969 0.07280 59 52 362 393 0.07000 1
0.06974 0.07282 59 52 380 412 0.07000 1
0.06795 0.07246 60 52 397 431 0.07000 0
0.06934 0.07256 60 51 416 450 0.07000 0
0.07000 0.07228 60 51 434 468 0.07000 3
0.06997 0.07171 60 51 453 487 0.07000 0
0.07051 0.07143 59 51 471 505 0.07000 2
0.06850 0.07118 60 51 488 524 0.07000 0
0.07005 0.07116 59 51 507 542 0.07000 2
0.07053 0.07142 59 51 526 561 0.07000 0
0.07078 0.07142 59 51 544 579 0.07000 3
0.07080 0.07109 59 51 563 598 0.07000 0
0.07077 0.07121 58 51 581 616 0.07000 3
0.07054 0.07123 58 51 599 635 0.07000 0
0.07001 0.07059 58 50 617 653 0.07000 2
0.06996 0.07030 59 50 635 671 0.07000 2
0.06784 0.07002 59 50 652 689 0.07000 2
0.06877 0.06988 60 51 671 707 0.07000 3
0.06996 0.06990 60 51 689 725 0.07000 4
0.06821 0.06781 60 52 706 742 0.07000 1
0.06954 0.06923 60 52 725 761 0.07000 5
0.07062 0.07007 59 51 744 779 0.07000 3
0.07076 0.07040 59 51 762 798 0.07000 0
0.07121 0.07050 59 50 781 816 0.07000 2
0.07090 0.07005 58 50 799 834 0.07000 3
0.07066 0.06989 58 51 817 852 0.07000 3
0.07028 0.06994 58 51 835 870 0.07000 3
0.06777 0.06981 60 51 852 888 0.07000 3
0.07001 0.06995 59 52 0 1 0.12000 4
0.09293 0.09444 102 94 30 32 0.12000 2
0.11128 0.11794 99 89 64 68 0.12000 1
0.12374 0.12736 97 87 100 104 0.12000 0
0.13663 0.13418 93 85 133 138 0.12000 0
0.12692 0.13306 94 84 164 171 0.12000 1
0.12723 0.13070 94 83 198 205 0.12000 0
0.12795 0.13549 93 81 231 237 0.12000 2
0.12748 0.12998 93 83 264 270 0.12000 0
0.12725 0.13187 92 81 296 302 0.12000 0
0.12611 0.12960 92 81 329 334 0.12000 0
0.12027 0.13057 93 79 360 365 0.12000 2
0.12023 0.12569 93 80 392 397 0.12000 1
0.12420 0.12435 93 81 425 429 0.12000 0
0.11918 0.12688 94 79 456 460 0.12000 1
0.12304 0.12024 93 80 490 490 0.12000 0
0.12505 0.12322 92 80 522 521 0.12000 2
0.12083 0.12236 93 80 553 553 0.12000 1
0.11899 0.11769 94 81 585 583 0.12000 1
0.12424 0.11675 93 81 618 614 0.12000 2
0.12449 0.12000 92 80 651 645 0.12000 2
0.12505 0.12079 91 80 683 677 0.12000 1
0.13027 0.11724 89 81 714 707 0.12000 1
0.12613 0.11999 90 81 746 739 0.12000 1
0.11983 0.11742 92 82 777 769 0.12000 2
0.12127 0.11807 91 82 809 800 0.12000 0
0.11701 0.12321 92 80 840 832 0.12000 1
0.12054 0.11899 91 82 872 862 0.12000 2
0.12218 0.12132 91 81 904 895 0.12000 3
0.12311 0.12244 91 80 936 927 0.12000 2
0.12314 0.12279 91 80 968 958 0.12000 1
0.12308 0.11792 90 81 1000 988 0.12000 1
0.12285 0.11657 90 82 1031 1019 0.12000 0
0.12006 0.12080 90 81 1061 1051 0.12000 0
0.11741 0.12362 91 80 1092 1082 0.12000 2
0.12088 0.11991 90 81 1124 1112 0.12000 1
0.12204 0.11715 90 81 1156 1142 0.12000 1
0.12238 0.11986 90 81 1187 1175 0.12000 2
0.12192 0.12175 90 80 1219 1206 0.12000 2
0.11677 0.12153 91 80 1249 1238 0.12000 1
0.11390 0.11709 92 81 1280 1268 0.12000 1
0.12013 0.11679 91 82 1312 1299 0.12000 0
0.11759 0.12261 92 81 1343 1331 0.12000 2
0.12059 0.12249 91 80 1375 1363 0.12000 2
0.11744 0.12195 92 80 1406 1395 0.12000 1
0.12058 0.11723 91 81 1438 1425 0.12000 1
0.11892 0.11985 92 81 1469 1457 0.12000 1
0.12377 0.12177 91 80 1501 1489 0.12000 2
0.11960 0.11891 92 81 1531 1519 0.12000 1
0.12114 0.11714 91 82 1564 1550 0.12000 2
0.11983 0.11998 91 81 0 0 0.17000 2
0.14736 0.15319 134 122 43 44 0.17000 0
0.17232 0.17151 129 119 91 92 0.17000 1
0.18422 0.18023 126 116 139 141 0.17000 2
0.18062 0.18183 125 116 184 189 0.17000 0
0.18105 0.17932 125 117 231 235 0.17000 1
0.17552 0.18015 126 115 277 283 0.17000 0
0.16625 0.16946 128 119 324 330 0.17000 0
0.17485 0.17593 127 117 370 377 0.17000 1
0.18040 0.17973 125 116 418 425 0.17000 0
0.17821 0.18245 125 114 463 472 0.17000 1
0.17948 0.17970 125 115 510 519 0.17000 1
0.17648 0.17821 124 115 554 564 0.17000 0
0.17786 0.17827 124 114 599 610 0.17000 1
0.17302 0.17825 125 114 644 656 0.17000 1
0.17142 0.17683 125 113 689 702 0.17000 1
0.17560 0.17742 124 113 736 748 0.17000 1
0.17535 0.17947 124 112 781 792 0.17000 1
0.17476 0.17590 124 112 825 838 0.17000 1
0.17457 0.17567 124 111 871 884 0.17000 1
0.17400 0.17337 124 112 915 928 0.17000 1
0.17500 0.17283 123 112 961 972 0.17000 0
0.16921 0.17635 125 111 1006 1018 0.17000 0
0.16975 0.17615 125 110 1051 1063 0.17000 1
0.17648 0.17321 123 111 1098 1108 0.17000 0
0.17573 0.17383 122 111 1144 1152 0.17000 0
0.17370 0.17479 123 110 1189 1197 0.17000 0
0.17118 0.16934 123 111 1234 1241 0.17000 0
0.16466 0.17474 126 110 1279 1286 0.17000 1
0.17206 0.17233 124 110 1324 1331 0.17000 1
0.17465 0.17028 124 110 1370 1374 0.17000 1
0.17673 0.17279 122 110 1415 1418 0.17000 1
0.17398 0.17226 123 109 1459 1463 0.17000 0
0.16698 0.17253 125 109 1504 1508 0.17000 2
0.17136 0.16978 124 110 1548 1551 0.17000 2
0.17348 0.16999 123 110 1594 1594 0.17000 0
0.17587 0.17202 122 109 1640 1639 0.17000 0
0.17152 0.17274 123 109 1684 1684 0.17000 2
0.17262 0.16954 123 110 1729 1727 0.17000 1
0.17353 0.17059 123 109 1775 1772 0.17000 0
0.17567 0.17216 121 108 1821 1817 0.17000 1
0.17026 0.17172 122 108 1865 1861 0.17000 0
0.17341 0.17166 122 108 1911 1905 0.17000 1
0.16662 0.16687 124 109 1955 1948 0.17000 0
0.17149 0.16365 123 111 2001 1992 0.17000 1
0.17501 0.16962 121 110 2047 2037 0.17000 1
0.16152 0.16754 125 110 2092 2081 0.17000 2
0.17328 0.16852 123 110 2139 2124 0.17000 0
0.17269 0.16613 123 111 2183 2168 0.17000 1
0.17118 0.16967 120 110 0 0 0.22000 0
0.20655 0.20814 161 150 56 57 0.22000 0
0.22509 0.23039 158 145 116 118 0.22000 1
0.22849 0.23369 157 144 176 180 0.22000 1
0.22999 0.23134 157 144 236 239 0.22000 0
0.22848 0.23490 157 143 295 300 0.22000 1
0.22842 0.22942 157 143 354 358 0.22000 0
0.22808 0.23303 156 142 413 417 0.22000 1
0.22922 0.23069 156 141 472 477 0.22000 0
0.22953 0.22987 155 142 531 536 0.22000 1
0.22930 0.22721 155 141 589 594 0.22000 1
0.23115 0.22600 154 141 647 652 0.22000 1
