0.00ultimaVel velObjetivo errorLeft errorAcumulado ka kp ki pwm ticks
0.00000 0.10000 -0.10000 -0.10000 71.42858 80.00000 0.00000 151 1
0.00000 0.10000 -0.10000 -0.20000 71.42858 80.00000 0.00000 151 2
0.00000 0.10000 -0.10000 -0.30000 71.42858 80.00000 0.00000 151 3
0.00651 0.10000 -0.09349 -0.88345 71.42858 74.79146 0.00000 145 0
0.01519 0.10000 -0.08481 -1.23633 71.42858 67.85097 0.00000 138 0
0.02255 0.10000 -0.07745 -1.47610 71.42858 61.96094 0.00000 132 0
0.04639 0.10000 -0.05361 -2.11710 71.42858 42.88753 0.00000 113 0
0.05262 0.10000 -0.04738 -2.26533 71.42858 37.90657 0.00000 108 0
0.05816 0.10000 -0.04184 -2.39626 71.42858 33.46842 0.00000 104 0
0.06462 0.10000 -0.03538 -2.54711 71.42858 28.30390 0.00000 99 0
0.06884 0.10000 -0.03116 -2.64469 71.42858 24.92961 0.00000 95 0
0.07358 0.10000 -0.02642 -2.75723 71.42858 21.13537 0.00000 92 0
0.07747 0.10000 -0.02253 -2.85289 71.42858 18.02105 0.00000 89 0
0.08064 0.10000 -0.01936 -2.93483 71.42858 15.48870 0.00000 86 0
0.08315 0.10000 -0.01685 -3.00582 71.42858 13.48079 0.00000 84 0
0.08545 0.10000 -0.01455 -3.08287 71.42858 11.63662 0.00000 82 0
0.08696 0.10000 -0.01304 -3.15051 71.42858 10.42840 0.00000 81 0
0.08805 0.10000 -0.01195 -3.19972 71.42858 9.56011 0.00000 80 0
0.08893 0.10000 -0.01107 -3.25675 71.42858 8.85646 0.00000 79 0
0.08954 0.10000 -0.01046 -3.31014 71.42858 8.36939 0.00000 79 0
0.08986 0.10000 -0.01014 -3.37145 71.42858 8.11595 0.00000 79 0
0.09037 0.10000 -0.00963 -3.42047 71.42858 7.70411 0.00000 78 0
0.09062 0.10000 -0.00938 -3.46782 71.42858 7.50133 0.00000 78 0
0.09074 0.10000 -0.00926 -3.51428 71.42858 7.40772 0.00000 78 0
0.09086 0.10000 -0.00914 -3.56025 71.42858 7.31140 0.00000 78 0
0.09090 0.10000 -0.00910 -3.61520 71.42858 7.28285 0.00000 78 0
0.09088 0.10000 -0.00912 -3.66070 71.42858 7.29631 0.00000 78 0
0.09091 0.10000 -0.00909 -3.70619 71.42858 7.27251 0.00000 78 0
0.09091 0.10000 -0.00909 -3.76100 71.42858 7.27291 0.00000 78 0
0.09089 0.10000 -0.00911 -3.80654 71.42858 7.29004 0.00000 78 0
0.09082 0.10000 -0.00918 -3.85226 71.42858 7.34641 0.00000 78 0
0.09083 0.10000 -0.00917 -3.90755 71.42858 7.33201 0.00000 78 0
0.09085 0.10000 -0.00915 -3.95336 71.42858 7.32102 0.00000 78 0
0.09084 0.10000 -0.00916 -3.99902 71.42858 7.32943 0.00000 78 0
0.09076 0.10000 -0.00924 -4.05455 71.42858 7.39213 0.00000 78 0
0.09078 0.10000 -0.00922 -4.10074 71.42858 7.37498 0.00000 78 0
0.09083 0.10000 -0.00917 -4.14668 71.42858 7.33669 0.00000 78 0
0.09079 0.10000 -0.00921 -4.20169 71.42858 7.37075 0.00000 78 0
0.09095 0.10000 -0.00905 -4.24705 71.42858 7.23938 0.00000 78 0
0.09094 0.10000 -0.00906 -4.29233 71.42858 7.25143 0.00000 78 0
