ultimaVel velObjetivo errorLeft errorAcumulado ka kp ki pwm ticks
0.00000 0.10000 -0.10000 0.00000 0.00000 45.00000 0.00000 45 1
0.00000 0.10000 -0.10000 -0.10000 0.00000 45.00000 0.00000 90 2
0.00000 0.10000 -0.10000 -0.10000 0.00000 45.00000 0.00000 135 3
0.00000 0.10000 -0.10000 -0.10000 0.00000 45.00000 0.00000 180 4
0.00000 0.10000 -0.10000 -0.10000 0.00000 45.00000 0.00000 225 5
0.00000 0.10000 -0.10000 -0.10000 0.00000 45.00000 0.00000 245 6
0.00000 0.10000 -0.10000 -0.10000 0.00000 45.00000 0.00000 245 7
0.00000 0.10000 -0.10000 -0.10000 0.00000 45.00000 0.00000 245 8
0.00000 0.10000 -0.10000 -0.10000 0.00000 45.00000 0.00000 245 9
0.01870 0.10000 -0.08130 -0.10000 0.00000 36.58362 0.00000 236 0
0.01870 0.10000 -0.08130 -0.08130 0.00000 36.58362 0.00000 236 1
0.01870 0.10000 -0.08130 -0.08130 0.00000 36.58362 0.00000 236 2
0.01870 0.10000 -0.08130 -0.08130 0.00000 36.58362 0.00000 236 3
0.04753 0.10000 -0.05247 -0.08130 0.00000 23.61258 0.00000 223 0
0.04753 0.10000 -0.05247 -0.05247 0.00000 23.61258 0.00000 223 1
0.09184 0.10000 -0.00816 -0.05247 0.00000 3.67195 0.00000 203 0
0.09184 0.10000 -0.00816 -0.00816 0.00000 3.67195 0.00000 203 1
0.09184 0.10000 -0.00816 -0.00816 0.00000 3.67195 0.00000 203 2
0.06782 0.10000 -0.03218 -0.00816 0.00000 14.48267 0.00000 214 0
0.14034 0.10000 0.04034 -0.03218 0.00000 -18.15153 0.00000 181 0
0.14034 0.10000 0.04034 0.04034 0.00000 -18.15153 0.00000 162 1
0.08546 0.10000 -0.01454 0.04034 0.00000 6.54096 0.00000 168 0
0.08546 0.10000 -0.01454 -0.01454 0.00000 6.54096 0.00000 174 1
0.13489 0.10000 0.03489 -0.01454 0.00000 -15.70175 0.00000 158 0
0.13489 0.10000 0.03489 0.03489 0.00000 -15.70175 0.00000 142 1
0.09539 0.10000 -0.00461 0.03489 0.00000 2.07535 0.00000 144 0
0.15109 0.10000 0.05109 -0.00461 0.00000 -22.99130 0.00000 121 0
0.15109 0.10000 0.05109 0.05109 0.00000 -22.99130 0.00000 98 1
0.10188 0.10000 0.00188 0.05109 0.00000 -0.84741 0.00000 97 0
0.16137 0.10000 0.06137 0.00188 0.00000 -27.61585 0.00000 69 0
0.16137 0.10000 0.06137 0.06137 0.00000 -27.61585 0.00000 41 1
0.10483 0.10000 0.00483 0.06137 0.00000 -2.17519 0.00000 38 0
0.15647 0.10000 0.05647 0.00483 0.00000 -25.41059 0.00000 12 0
0.15647 0.10000 0.05647 0.05647 0.00000 -25.41059 0.00000 65523 1
0.10116 0.10000 0.00116 0.05647 0.00000 -0.52333 0.00000 12 0
0.10116 0.10000 0.00116 0.00116 0.00000 -0.52333 0.00000 11 1
0.11566 0.10000 0.01566 0.00116 0.00000 -7.04662 0.00000 3 0
0.11566 0.10000 0.01566 0.01566 0.00000 -7.04662 0.00000 65532 1
0.09906 0.10000 -0.00094 0.01566 0.00000 0.42197 0.00000 4 0
0.09906 0.10000 -0.00094 -0.00094 0.00000 0.42197 0.00000 4 1
