ultimaVel velObjetivo errorLeft errorAcumulado kp kd ki pwm ticks
0.09361 -0.10210 0.19571 0.20277 -195.71214 0.70458 -2.02770 13 0
0.09361 -0.10210 0.19571 0.19571 -195.71214 10.19145 -1.95712 255 1
-0.01346 -0.10210 0.08864 0.14682 -88.64196 4.72571 -1.46815 39 0
-0.01346 -0.10210 0.08864 0.08864 -88.64196 0.77950 -0.88642 255 1
-0.01346 -0.10210 0.08864 0.08864 -88.64196 1.36029 -0.88642 255 2
-0.02051 -0.10210 0.08160 0.07636 -81.59503 0.71086 -0.76358 255 0
-0.02051 -0.10210 0.08160 0.08160 -81.59503 9.89914 -0.81595 255 1
-0.02051 -0.10210 0.08160 0.08160 -81.59503 -7.60384 -0.81595 255 2
-0.02051 -0.10210 0.08160 0.08160 -81.59503 5.54195 -0.81595 255 3
-0.02155 -0.10210 0.08055 0.07623 -80.54776 1.19535 -0.76225 255 0
-0.02155 -0.10210 0.08055 0.08055 -80.54776 -1.72795 -0.80548 255 1
-0.02155 -0.10210 0.08055 0.08055 -80.54776 3.92143 -0.80548 255 2
-0.02155 -0.10210 0.08055 0.08055 -80.54776 -2.01995 -0.80548 255 3
-0.02155 -0.10210 0.08055 0.08055 -80.54776 -0.29604 -0.80548 255 4
-0.02311 -0.10210 0.07900 0.07987 -78.99652 4.23500 -0.79866 255 0
-0.02311 -0.10210 0.07900 0.07900 -78.99652 0.05870 -0.78997 255 1
-0.02311 -0.10210 0.07900 0.07900 -78.99652 2.34038 -0.78997 255 2
-0.02311 -0.10210 0.07900 0.07900 -78.99652 -0.24046 -0.78997 255 3
-0.02491 -0.10210 0.07719 0.07979 -77.18965 -8.10454 -0.79787 0 0
-0.02491 -0.10210 0.07719 0.07719 -77.18965 4.63549 -0.77190 255 1
-0.02491 -0.10210 0.07719 0.07719 -77.18965 3.78117 -0.77190 0 2
-0.02491 -0.10210 0.07719 0.07719 -77.18965 -0.67671 -0.77190 255 3
-0.02568 -0.10210 0.07643 0.07725 -76.42618 -1.56138 -0.77252 0 0
-0.02568 -0.10210 0.07643 0.07643 -76.42618 1.48352 -0.76426 255 1
-0.02568 -0.10210 0.07643 0.07643 -76.42618 -3.05756 -0.76426 0 2
-0.02568 -0.10210 0.07643 0.07643 -76.42618 -3.50153 -0.76426 255 3
-0.02568 -0.10210 0.07643 0.07643 -76.42618 2.58664 -0.76426 0 4
-0.01795 -0.10210 0.08415 0.08283 -84.15444 -4.03432 -0.82827 255 0
-0.01795 -0.10210 0.08415 0.08415 -84.15444 2.60536 -0.84154 255 1
-0.01795 -0.10210 0.08415 0.08415 -84.15444 -0.89424 -0.84154 255 2
-0.01795 -0.10210 0.08415 0.08415 -84.15444 0.67370 -0.84154 255 3
-0.02153 -0.10210 0.08058 0.07911 -80.57604 5.79878 -0.79109 255 0
-0.02153 -0.10210 0.08058 0.08058 -80.57604 2.82462 -0.80576 0 1
-0.02153 -0.10210 0.08058 0.08058 -80.57604 3.74557 -0.80576 255 2
-0.02153 -0.10210 0.08058 0.08058 -80.57604 -2.63807 -0.80576 0 3
-0.02153 -0.10210 0.08058 0.08058 -80.57604 -3.30614 -0.80576 255 4
-0.02351 -0.10210 0.07859 0.08228 -78.58784 -0.95155 -0.82281 4 0
-0.02351 -0.10210 0.07859 0.07859 -78.58784 -1.59299 -0.78588 255 1
-0.02351 -0.10210 0.07859 0.07859 -78.58784 -3.11900 -0.78588 255 2
-0.02351 -0.10210 0.07859 0.07859 -78.58784 5.16806 -0.78588 255 3
