ultimaVel velObjetivo errorLeft errorAcumulado kp kd ki potencia ticks
0.00000 0.10000 -0.10000 0.00000 0.04000 0.25000 0.00000 0.29000 97
0.00000 0.10000 -0.10000 -0.10000 0.04000 0.00000 0.00000 0.33000 98
0.00000 0.10000 -0.10000 -0.10000 0.04000 0.00000 0.00000 0.37000 99
0.00000 0.10000 -0.10000 -0.10000 0.04000 0.00000 0.00000 0.41000 100
0.00095 0.10000 -0.09905 -0.10000 0.03962 -0.00239 0.00000 0.44723 0
0.07343 0.10000 -0.02657 -0.09905 0.01063 -0.16332 0.00000 0.27667 0
0.09229 0.10000 -0.00771 -0.02657 0.00308 -0.00762 0.00000 0.23260 0
0.08837 0.10000 -0.01163 -0.00771 0.00465 0.00000 0.00000 0.24705 0
0.07527 0.10000 -0.02473 -0.01163 0.00989 0.01934 0.00000 0.28969 0
0.07527 0.10000 -0.02473 -0.02473 0.00989 0.00000 0.00000 0.29958 1
0.07005 0.10000 -0.02995 -0.02473 0.01198 0.00561 0.00000 0.32460 0
0.07732 0.10000 -0.02268 -0.02995 0.00907 -0.00295 0.00000 0.31551 0
0.08657 0.10000 -0.01343 -0.02268 0.00537 0.00000 0.00000 0.29777 0
0.09406 0.10000 -0.00594 -0.01343 0.00237 -0.00989 0.00000 0.28140 0
0.10044 0.10000 0.00044 -0.00594 -0.00018 -0.02595 0.00000 0.26529 0
0.10416 0.10000 0.00416 0.00044 -0.00166 -0.02978 0.00000 0.25433 0
0.10739 0.10000 0.00739 0.00416 -0.00295 -0.01350 0.00000 0.24330 0
0.11167 0.10000 0.01167 0.00739 -0.00467 -0.00733 0.00000 0.22791 0
0.11393 0.10000 0.01393 0.01167 -0.00557 0.00373 0.00000 0.21670 0
0.11405 0.10000 0.01405 0.01393 -0.00562 0.00227 0.00000 0.21077 0
0.10940 0.10000 0.00940 0.01405 -0.00376 -0.00015 0.00000 0.21864 0
0.10450 0.10000 0.00450 0.00940 -0.00180 -0.00619 0.00000 0.22909 0
0.10110 0.10000 0.00110 0.00450 -0.00044 -0.00308 0.00000 0.23716 0
0.10227 0.10000 0.00227 0.00110 -0.00091 0.01222 0.00000 0.23332 0
0.10476 0.10000 0.00476 0.00227 -0.00191 -0.00119 0.00000 0.22518 0
0.10667 0.10000 0.00667 0.00476 -0.00267 -0.00325 0.00000 0.21775 0
0.10760 0.10000 0.00760 0.00667 -0.00304 -0.00970 0.00000 0.21238 0
0.10692 0.10000 0.00692 0.00760 -0.00277 -0.00800 0.00000 0.21132 0
0.10488 0.10000 0.00488 0.00692 -0.00195 -0.00744 0.00000 0.21448 0
0.09945 0.10000 -0.00055 0.00488 0.00022 -0.00902 0.00000 0.22825 0
0.09652 0.10000 -0.00348 -0.00055 0.00139 0.00943 0.00000 0.23696 0
0.11059 0.10000 0.01059 -0.00348 -0.00424 0.00755 0.00000 0.19756 0
0.10763 0.10000 0.00763 0.01059 -0.00305 0.01206 0.00000 0.20191 0
0.10737 0.10000 0.00737 0.00763 -0.00295 0.00524 0.00000 0.19960 0
0.10703 0.10000 0.00703 0.00737 -0.00281 -0.00040 0.00000 0.19766 0
0.10493 0.10000 0.00493 0.00703 -0.00197 -0.00596 0.00000 0.20093 0
0.10352 0.10000 0.00352 0.00493 -0.00141 -0.00726 0.00000 0.20305 0
0.10062 0.10000 0.00062 0.00352 -0.00025 0.00214 0.00000 0.21004 0
0.09861 0.10000 -0.00139 0.00062 0.00056 -0.00729 0.00000 0.21563 0
0.09759 0.10000 -0.00241 -0.00139 0.00096 0.00121 0.00000 0.21914 0
