go
GO!
ultimaVel velObjetivo errorLeft errorAcumulado kp kd ki potencia encoderPos
0.52225 0.50000 0.02225 0.02333 -0.01335 0.00000 0.00000 0.81679 6
0.51717 0.50000 0.01717 0.02225 -0.01030 0.00000 0.00000 0.80649 5
0.51596 0.50000 0.01596 0.01717 -0.00958 0.00000 0.00000 0.79692 5
0.51275 0.50000 0.01275 0.01596 -0.00765 0.00000 0.00000 0.78926 6
0.50784 0.50000 0.00784 0.01275 -0.00470 0.00000 0.00000 0.78456 5
0.50658 0.50000 0.00658 0.00784 -0.00395 0.00000 0.00000 0.78061 5
0.50391 0.50000 0.00391 0.00658 -0.00235 0.00000 0.00000 0.77826 5
0.50193 0.50000 0.00193 0.00391 -0.00116 0.00000 0.00000 0.77710 6
0.49710 0.50000 -0.00290 0.00193 0.00174 0.00000 0.00000 0.77884 5
0.49674 0.50000 -0.00326 -0.00290 0.00195 0.00000 0.00000 0.78080 5
0.49431 0.50000 -0.00569 -0.00326 0.00342 0.00000 0.00000 0.78421 5
0.49427 0.50000 -0.00573 -0.00569 0.00344 0.00000 0.00000 0.78765 5
0.49159 0.50000 -0.00841 -0.00573 0.00505 0.00000 0.00000 0.79270 5
0.49221 0.50000 -0.00779 -0.00841 0.00467 0.00000 0.00000 0.79737 5
0.49003 0.50000 -0.00997 -0.00779 0.00598 0.00000 0.00000 0.80335 5
0.48931 0.50000 -0.01069 -0.00997 0.00641 0.00000 0.00000 0.80977 5
0.48655 0.50000 -0.01345 -0.01069 0.00807 0.00000 0.00000 0.81784 5
0.48348 0.50000 -0.01652 -0.01345 0.00991 0.00000 0.00000 0.82775 5
0.48591 0.50000 -0.01409 -0.01652 0.00846 0.00000 0.00000 0.83620 5
0.48266 0.50000 -0.01734 -0.01409 0.01040 0.00000 0.00000 0.84661 5
0.48530 0.50000 -0.01470 -0.01734 0.00882 0.00000 0.00000 0.85543 5
0.48292 0.50000 -0.01708 -0.01470 0.01025 0.00000 0.00000 0.86568 5
0.48493 0.50000 -0.01507 -0.01708 0.00904 0.00000 0.00000 0.87472 6
0.48569 0.50000 -0.01431 -0.01507 0.00859 0.00000 0.00000 0.88331 5
0.48474 0.50000 -0.01526 -0.01431 0.00916 0.00000 0.00000 0.89246 5
0.49005 0.50000 -0.00995 -0.01526 0.00597 0.00000 0.00000 0.89843 5
0.49216 0.50000 -0.00784 -0.00995 0.00471 0.00000 0.00000 0.90314 5
0.49601 0.50000 -0.00399 -0.00784 0.00239 0.00000 0.00000 0.90553 5
0.49683 0.50000 -0.00317 -0.00399 0.00190 0.00000 0.00000 0.90744 5
0.49973 0.50000 -0.00027 -0.00317 0.00016 0.00000 0.00000 0.90760 5
0.50046 0.50000 0.00046 -0.00027 -0.00028 0.00000 0.00000 0.90732 5
0.50338 0.50000 0.00338 0.00046 -0.00203 0.00000 0.00000 0.90529 6
0.50241 0.50000 0.00241 0.00338 -0.00145 0.00000 0.00000 0.90385 5
0.50625 0.50000 0.00625 0.00241 -0.00375 0.00000 0.00000 0.90009 5
0.50461 0.50000 0.00461 0.00625 -0.00276 0.00000 0.00000 0.89733 5
0.50658 0.50000 0.00658 0.00461 -0.00395 0.00000 0.00000 0.89338 5
0.50593 0.50000 0.00593 0.00658 -0.00356 0.00000 0.00000 0.88983 6
0.50644 0.50000 0.00644 0.00593 -0.00387 0.00000 0.00000 0.88596 5
0.51052 0.50000 0.01052 0.00644 -0.00631 0.00000 0.00000 0.87965 5
0.50944 0.50000 0.00944 0.01052 -0.00566 0.00000 0.00000 0.87399 6
A> go
GO!
ultimaVel velObjetivo errorLeft errorAcumulado kp kd ki potencia encoderPos
0.49853 0.50000 -0.00147 -0.00343 0.00088 0.00000 0.00000 0.91635 6
0.50052 0.50000 0.00052 -0.00147 -0.00031 0.00000 0.00000 0.91603 5
0.50362 0.50000 0.00362 0.00052 -0.00217 0.00000 0.00000 0.91386 5
0.50382 0.50000 0.00382 0.00362 -0.00229 0.00000 0.00000 0.91157 5
0.50747 0.50000 0.00747 0.00382 -0.00448 0.00000 0.00000 0.90708 6
0.50757 0.50000 0.00757 0.00747 -0.00454 0.00000 0.00000 0.90254 5
0.50765 0.50000 0.00765 0.00757 -0.00459 0.00000 0.00000 0.89795 5
0.50782 0.50000 0.00782 0.00765 -0.00469 0.00000 0.00000 0.89326 5
0.51024 0.50000 0.01024 0.00782 -0.00614 0.00000 0.00000 0.88711 6
0.51142 0.50000 0.01142 0.01024 -0.00685 0.00000 0.00000 0.88026 5
0.51180 0.50000 0.01180 0.01142 -0.00708 0.00000 0.00000 0.87318 5
0.51193 0.50000 0.01193 0.01180 -0.00716 0.00000 0.00000 0.86602 5
0.50845 0.50000 0.00845 0.01193 -0.00507 0.00000 0.00000 0.86095 6
0.50215 0.50000 0.00215 0.00845 -0.00129 0.00000 0.00000 0.85966 5
0.50199 0.50000 0.00199 0.00215 -0.00120 0.00000 0.00000 0.85847 5
0.49775 0.50000 -0.00225 0.00199 0.00135 0.00000 0.00000 0.85981 5
0.49700 0.50000 -0.00300 -0.00225 0.00180 0.00000 0.00000 0.86162 5
0.49507 0.50000 -0.00493 -0.00300 0.00296 0.00000 0.00000 0.86458 6
0.49569 0.50000 -0.00431 -0.00493 0.00258 0.00000 0.00000 0.86716 5
0.48948 0.50000 -0.01052 -0.00431 0.00631 0.00000 0.00000 0.87347 5
0.48758 0.50000 -0.01242 -0.01052 0.00745 0.00000 0.00000 0.88093 5
0.48740 0.50000 -0.01260 -0.01242 0.00756 0.00000 0.00000 0.88849 5
0.48860 0.50000 -0.01140 -0.01260 0.00684 0.00000 0.00000 0.89533 5
0.49044 0.50000 -0.00956 -0.01140 0.00574 0.00000 0.00000 0.90106 5
0.49158 0.50000 -0.00842 -0.00956 0.00505 0.00000 0.00000 0.90612 5
0.49670 0.50000 -0.00330 -0.00842 0.00198 0.00000 0.00000 0.90810 5
0.49514 0.50000 -0.00486 -0.00330 0.00292 0.00000 0.00000 0.91102 5
0.49577 0.50000 -0.00423 -0.00486 0.00254 0.00000 0.00000 0.91356 5
0.49649 0.50000 -0.00351 -0.00423 0.00211 0.00000 0.00000 0.91566 6
0.50390 0.50000 0.00390 -0.00351 -0.00234 0.00000 0.00000 0.91332 5
0.50174 0.50000 0.00174 0.00390 -0.00105 0.00000 0.00000 0.91227 5
0.50663 0.50000 0.00663 0.00174 -0.00398 0.00000 0.00000 0.90830 5
0.50583 0.50000 0.00583 0.00663 -0.00350 0.00000 0.00000 0.90480 5
0.51014 0.50000 0.01014 0.00583 -0.00608 0.00000 0.00000 0.89872 6
0.51097 0.50000 0.01097 0.01014 -0.00658 0.00000 0.00000 0.89213 5
0.51084 0.50000 0.01084 0.01097 -0.00650 0.00000 0.00000 0.88563 5
0.51518 0.50000 0.01518 0.01084 -0.00911 0.00000 0.00000 0.87652 6
0.52008 0.50000 0.02008 0.01518 -0.01205 0.00000 0.00000 0.86448 5
0.52057 0.50000 0.02057 0.02008 -0.01234 0.00000 0.00000 0.85214 5
0.52129 0.50000 0.02129 0.02057 -0.01277 0.00000 0.00000 0.83937 6
A> go
GO!
ultimaVel velObjetivo errorLeft errorAcumulado kp kd ki potencia encoderPos
0.49601 0.50000 -0.00399 -0.00211 0.00239 0.00000 0.00000 0.88804 5
0.49734 0.50000 -0.00266 -0.00399 0.00159 0.00000 0.00000 0.88964 5
0.49786 0.50000 -0.00214 -0.00266 0.00128 0.00000 0.00000 0.89092 5
0.50185 0.50000 0.00185 -0.00214 -0.00111 0.00000 0.00000 0.88981 6
0.50164 0.50000 0.00164 0.00185 -0.00099 0.00000 0.00000 0.88882 5
0.50211 0.50000 0.00211 0.00164 -0.00127 0.00000 0.00000 0.88756 5
0.50069 0.50000 0.00069 0.00211 -0.00041 0.00000 0.00000 0.88715 5
0.50286 0.50000 0.00286 0.00069 -0.00172 0.00000 0.00000 0.88543 5
0.49914 0.50000 -0.00086 0.00286 0.00052 0.00000 0.00000 0.88595 6
0.50104 0.50000 0.00104 -0.00086 -0.00063 0.00000 0.00000 0.88532 5
0.50320 0.50000 0.00320 0.00104 -0.00192 0.00000 0.00000 0.88340 5
0.50380 0.50000 0.00380 0.00320 -0.00228 0.00000 0.00000 0.88112 5
0.50370 0.50000 0.00370 0.00380 -0.00222 0.00000 0.00000 0.87890 5
0.50630 0.50000 0.00630 0.00370 -0.00378 0.00000 0.00000 0.87511 6
0.51087 0.50000 0.01087 0.00630 -0.00652 0.00000 0.00000 0.86859 5
0.51497 0.50000 0.01497 0.01087 -0.00898 0.00000 0.00000 0.85961 5
0.51660 0.50000 0.01660 0.01497 -0.00996 0.00000 0.00000 0.84965 6
0.51753 0.50000 0.01753 0.01660 -0.01052 0.00000 0.00000 0.83913 5
0.51583 0.50000 0.01583 0.01753 -0.00950 0.00000 0.00000 0.82963 5
0.51205 0.50000 0.01205 0.01583 -0.00723 0.00000 0.00000 0.82240 6
0.51252 0.50000 0.01252 0.01205 -0.00751 0.00000 0.00000 0.81488 5
0.51248 0.50000 0.01248 0.01252 -0.00749 0.00000 0.00000 0.80739 5
