go
GO!
vlineal vlinealLeft vlinealRight vEncoderLeft vEncoderRight pwmLeft pwmRight posLeft posRight
parar en radianes: 
2.99
parar en 0.39663145
0.29444
2.20833
vlineal vlinealLeft vlinealRight vEncoderLeft vEncoderRight pwmLeft pwmRight posLeft posRight
0.00000 0.00000 0.00000 0.00000 0.00000 1 0 0 0
0.00600 0.00883 0.00317 0.00000 0.00000 3 1 0 0
0.01200 0.01767 0.00633 0.00000 0.00000 6 2 0 0
0.01800 0.02650 0.00950 0.00000 0.00000 10 3 0 0
0.02400 0.03533 0.01583 0.00000 0.00000 16 5 0 0
0.03000 0.05300 0.01900 0.00000 0.00000 22 8 0 0
0.03600 0.06183 0.02217 0.00000 0.00000 29 10 0 0
0.04800 0.07067 0.02533 0.00000 0.00000 48 17 0 0
0.05400 0.07950 0.02850 0.00000 0.00195 58 20 1 1
0.06000 0.08833 0.03167 0.00193 0.00195 70 24 1 1
0.06600 0.09717 0.03800 0.00193 0.00195 83 29 2 1
0.07200 0.11483 0.04117 0.03005 0.00195 93 39 3 1
0.08400 0.12367 0.04433 0.04037 0.00195 113 44 4 1
0.09000 0.13250 0.04750 0.05058 0.00195 124 50 6 2
0.09600 0.14133 0.05383 0.05354 0.01251 136 55 7 2
0.10200 0.15900 0.05700 0.08072 0.01251 159 64 10 3
0.11400 0.16783 0.06017 0.05970 0.02685 169 69 12 3
0.12000 0.17667 0.06333 0.09691 0.03603 180 73 15 4
0.12600 0.19433 0.06967 0.10232 0.04213 199 80 19 6
0.13800 0.20317 0.07283 0.13274 0.04339 202 84 23 7
0.14400 0.21200 0.07917 0.14817 0.07054 202 85 27 9
0.15000 0.22967 0.08233 0.17815 0.05281 202 92 33 11
0.16200 0.23850 0.08550 0.15845 0.08026 202 93 38 13
0.16800 0.24733 0.09183 0.19320 0.05896 202 97 43 15
0.18000 0.26500 0.09500 0.19768 0.08740 202 99 50 18
0.18600 0.27383 0.09817 0.20303 0.09441 202 100 56 20
0.19200 0.29150 0.10450 0.22858 0.09704 202 102 63 24
0.20400 0.30033 0.10767 0.20700 0.10026 202 103 69 26
0.20400 0.30033 0.10767 0.23866 0.10288 202 103 76 30
0.20400 0.30033 0.10767 0.24196 0.10640 202 101 84 33
0.20400 0.30033 0.10767 0.24815 0.13322 202 98 91 37
0.20400 0.30033 0.10767 0.27252 0.10976 202 94 99 41
0.20400 0.30033 0.10767 0.25035 0.13815 202 90 106 45
0.20400 0.30033 0.10767 0.25133 0.11122 202 90 113 49
0.20400 0.30033 0.10767 0.27686 0.13764 202 82 122 52
0.20400 0.30033 0.10767 0.28163 0.13807 202 79 129 56
0.20400 0.30033 0.10767 0.28353 0.11186 202 75 138 60
0.20400 0.30033 0.10767 0.28513 0.13802 202 71 146 64
0.20400 0.30033 0.10767 0.28533 0.13668 202 67 154 68
0.20400 0.30033 0.10767 0.28623 0.13482 202 64 163 71
0.20400 0.30033 0.10767 0.28796 0.10828 202 64 171 74
0.20400 0.30033 0.10767 0.28833 0.13144 202 61 180 78
0.20400 0.30033 0.10767 0.26272 0.12838 202 59 187 81
0.20400 0.30033 0.10767 0.24150 0.10387 202 59 195 85
0.20400 0.30033 0.10767 0.26811 0.10273 202 60 203 88
0.20400 0.30033 0.10767 0.29115 0.12362 202 58 211 91
0.20400 0.30033 0.10767 0.29210 0.10225 202 60 220 94
0.20400 0.30033 0.10767 0.29354 0.10071 202 60 228 97
0.20400 0.30033 0.10767 0.29366 0.10085 202 60 237 100
0.20400 0.30033 0.10767 0.29473 0.10040 202 60 245 103
0.20400 0.30033 0.10767 0.29540 0.10097 202 61 254 107
0.20400 0.30033 0.10767 0.29543 0.09962 202 63 263 109
0.20400 0.30033 0.10767 0.29484 0.09977 202 64 271 112
0.20400 0.30033 0.10767 0.27215 0.12124 202 63 280 116
0.20400 0.30033 0.10767 0.29472 0.09933 202 64 289 119
0.20400 0.30033 0.10767 0.29575 0.09975 202 66 297 122
0.20400 0.30033 0.10767 0.27385 0.09939 202 67 306 125
0.20400 0.30033 0.10767 0.29637 0.10029 202 68 314 128
0.20400 0.30033 0.10767 0.29613 0.10054 202 67 323 131
0.20400 0.30033 0.10767 0.29600 0.10134 202 68 331 134
0.20400 0.30033 0.10767 0.29574 0.10068 202 70 340 137
0.20400 0.30033 0.10767 0.27449 0.10105 202 71 349 140
0.20400 0.30033 0.10767 0.29714 0.12400 202 69 357 144
0.20400 0.30033 0.10767 0.27501 0.10274 202 70 366 147
0.20400 0.30033 0.10767 0.29700 0.12583 202 68 376 150
0.20400 0.30033 0.10767 0.29651 0.10341 199 69 384 154
0.20400 0.30033 0.10767 0.29792 0.10375 199 69 393 157
0.20400 0.30033 0.10767 0.29820 0.10356 197 68 403 160
0.20400 0.30033 0.10767 0.29770 0.10386 197 68 411 163
0.20400 0.30033 0.10767 0.29709 0.12575 195 66 421 167
0.20400 0.30033 0.10767 0.29640 0.10306 196 67 429 170
0.20400 0.30033 0.10767 0.29594 0.12424 196 66 438 173
0.20400 0.30033 0.10767 0.29598 0.10242 200 66 446 176
0.20400 0.30033 0.10767 0.29616 0.10212 200 67 455 180
0.20400 0.30033 0.10767 0.29642 0.12537 201 66 463 183
0.20400 0.30033 0.10767 0.27372 0.10302 202 66 472 186
0.20400 0.30033 0.10767 0.29649 0.10296 202 64 482 190
0.20400 0.30033 0.10767 0.32104 0.10321 199 65 490 193
0.20400 0.30033 0.10767 0.29819 0.10292 200 63 500 196
0.20400 0.30033 0.10767 0.29745 0.10259 197 64 508 199
0.20400 0.30033 0.10767 0.29636 0.10229 198 65 517 203
0.20400 0.30033 0.10767 0.29582 0.12390 199 63 526 206
0.20400 0.30033 0.10767 0.27406 0.10200 202 64 534 209
0.20400 0.30033 0.10767 0.29618 0.10241 202 65 544 212
0.20400 0.30033 0.10767 0.31992 0.10170 199 66 552 215
0.20400 0.30033 0.10767 0.29649 0.12407 200 65 562 219
0.20400 0.30033 0.10767 0.29502 0.10156 201 66 570 222
0.20400 0.30033 0.10767 0.29438 0.10119 202 66 579 225
0.20400 0.30033 0.10767 0.27295 0.10113 202 65 587 228
0.20400 0.30033 0.10767 0.29730 0.10122 202 66 595 231
0.20400 0.30033 0.10767 0.27551 0.10155 202 68 605 235
0.20400 0.30033 0.10767 0.29711 0.12300 202 66 613 238
0.20400 0.30033 0.10767 0.32084 0.10189 199 67 623 241
0.20400 0.30033 0.10767 0.29686 0.10107 200 68 631 244
0.20400 0.30033 0.10767 0.29688 0.10161 200 67 640 247
